Gene1	Gene2	Correlation	Gene1_class	Gene2_class	Gene1_direction	Gene2_direction	Gene1_total	Gene2_total	Gene1_TF	Gene2_TF	Gene1_photoreceptor	Gene2_photoreceptor	Gene1_known	Gene2_known	interaction_type	same_class	same_direction	source	Gene1_label	Gene2_label	Gene1_tf_family	Gene2_tf_family	cluster
AT1G63100	AT3G04290	0.6414669871000471	Short–Long Down	Short–Long Down	Down	Down	1	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short–Long Down	Short–Long Down	GRAS	NA	1
AT2G44730	AT5G47580	0.6409412403059317	Short Down	Short Down	Down	Down	3	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	Trihelix	NA	1
AT1G50420	AT1G79520	0.6409032917776112	Short–Long Up	Short–Long Up	Up	Up	2	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short–Long Up	Short–Long Up	GRAS	NA	1
AT1G19700	AT5G14230	0.6407850628359101	Short Up	Short–Long Down	Up	Down	3	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up	Short–Long Down	TALE	NA	1
AT1G19700	AT1G18660	0.6405211071362081	Short Up	Short–Long Up	Up	Up	3	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short Up	Short–Long Up	TALE	NA	1
AT1G19700	AT3G27350	0.640267152881391	Short Up	Short Up	Up	Up	3	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Up	Short Up	TALE	NA	1
AT1G33060	AT2G44730	0.6401641936856326	Short Down	Short Down	Down	Down	2	3	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TF-TF	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	TF, Short Down	NAC	Trihelix	1
AT2G44730	AT3G19570	0.6400949822800867	Short Down	Short Down	Down	Down	3	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	Trihelix	NA	1
AT1G06180	AT1G17940	0.6400358909443469	Short–Long Up	Short–Long Up	Up	Up	4	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short–Long Up	Short–Long Up	MYB	NA	1
AT4G01280	AT1G31130	0.6398768382906966	Short Up	Short Up	Up	Up	4	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Up	Short Up	MYB_related	NA	1
AT3G60630	AT3G09035	0.6398519208286031	Short Down	Short Down	Down	Down	2	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	GRAS	NA	1
AT3G60630	AT2G01440	0.6395489514156453	Short Down	Short Down	Down	Down	2	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	GRAS	NA	1
AT5G45260	AT1G67500	0.6394869559644479	Short Down	Short Down	Down	Down	2	2	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	WRKY	NA	1
AT4G13640	AT1G53350	0.6393492153786533	Short Down	Short Down	Down	Down	1	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	G2-like	NA	1
AT1G70000	AT4G33040	0.6392224468153319	Short–Long Up	Short–Long Up	Up	Up	4	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short–Long Up	Short–Long Up	MYB_related	NA	1
AT1G08465	AT5G45260	0.6387895837550381	Short Down	Short Down	Down	Down	1	2	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TF-TF	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	TF, Short Down	YABBY	WRKY	1
AT2G40340	AT5G09230	0.6387076787903911	Frequent	Short–Long Up	Up	Up	3	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Frequent	Short–Long Up	ERF	NA	1
AT2G35940	AT5G07590	0.6383888208032694	Short Up	Short Down	Up	Down	4	2	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up	Short Down	TALE	NA	1
AT4G01280	AT2G19460	0.6383658180314528	Short Up	Short Down	Up	Down	4	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up	Short Down	MYB_related	NA	1
AT1G26260	AT5G47330	0.6382552579357563	Short–Long Down	Short–Long Up	Down	Up	2	3	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short–Long Down	Short–Long Up	bHLH	NA	1
AT1G12860	AT3G16000	0.6382325634792537	Short–Long Down	Short–Long Down	Down	Down	3	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short–Long Down	Short–Long Down	bHLH	NA	2
AT5G12850	AT1G76340	0.638231874012357	Short–Long Down	Short Down	Down	Down	1	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short–Long Down	Short Down	C3H	NA	1
AT1G58110	AT4G11850	0.6381611746550786	Short Down	Short Up–Down	Down	Mixed	2	2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Down	Short Up–Down	bZIP	NA	1
AT2G47890	AT2G43910	0.6380600912469185	Frequent	Short Up–Long Down	Up	Up	2	1	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Frequent	Short Up–Long Down	DBB	NA	1
AT3G57980	AT3G53830	0.6379517666287375	Short Down	Short–Long Up	Down	Up	1	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Down	Short–Long Up	MYB_related	NA	1
AT2G40340	AT2G40460	0.6378297330191515	Frequent	Frequent	Up	Up	3	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Frequent	Frequent	ERF	NA	1
AT1G12860	AT1G74600	0.6375057086836976	Short–Long Down	Short Down	Down	Down	3	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short–Long Down	Short Down	bHLH	NA	2
AT4G01280	AT4G31000	0.6374661023657381	Short Up	Frequent	Up	Down	4	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up	Frequent	MYB_related	NA	1
AT2G44730	AT5G13980	0.637234698948815	Short Down	Short Down	Down	Down	3	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short Down	Short Down	Trihelix	NA	1
AT5G52660	AT3G18440	0.6372210906491327	Short–Long Up	Short–Long Up	Up	Up	4	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short–Long Up	Short–Long Up	MYB_related	NA	1
AT1G45249	AT5G43400	0.6371708019714437	Short–Long Up	Short–Long Up	Up	Up	4	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short–Long Up	Short–Long Up	bZIP	NA	1
AT1G12860	AT3G20500	0.6369423878478457	Short–Long Down	Short–Long Up	Down	Up	3	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short–Long Down	Short–Long Up	bHLH	NA	2
AT1G12860	AT4G32710	0.6366439236543151	Short–Long Down	Short Down	Down	Down	3	3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short–Long Down	Short Down	bHLH	NA	2
AT4G36900	AT3G18440	0.6365517276439339	Short–Long Up	Short–Long Up	Up	Up	5	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	TRUE	TRUE	GENIE&WGCNA	TF, Short–Long Up	Short–Long Up	ERF	NA	1
AT4G31650	AT4G34960	0.6365434405383512	Short–Long Down	Short Down	Down	Down	4	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	TRUE	GENIE&WGCNA	TF, Short–Long Down	Short Down	B3	NA	1
AT1G36060	AT5G15820	0.6364066909958374	Short Up–Down	Short Up	Mixed	Up	2	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TF-gene	FALSE	FALSE	GENIE&WGCNA	TF, Short Up–Down	Short Up	ERF	NA	3
