ID	Description	gene_count	total_in_cluster	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	cluster	percent_genes
GO:0000460	maturation of 5.8S rRNA	2	57	33/21384	0.06060606060606061	22.736842105263158	6.460277474347477	0.0034953849195044355	0.02461643422033975	0.01808362634726819	NA/MEE49	2	1	3.508771929824561
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2	57	34/21384	0.058823529411764705	22.068111455108358	6.355840461199467	0.003707513621325762	0.025566396013725567	0.018781483476452875	EMB2777/EDA7	2	1	3.508771929824561
GO:0009165	nucleotide biosynthetic process	3	57	126/21384	0.023809523809523808	8.932330827067668	4.616701029408365	0.004635103342578136	0.03131059604884414	0.023001264707530597	NA/NA/ATPURM	3	1	5.263157894736842
GO:0009156	ribonucleoside monophosphate biosynthetic process	2	57	41/21384	0.04878048780487805	18.300385109114252	5.7322725073403875	0.005354873697683525	0.034754180273200916	0.02553097676294932	NA/ATPURM	2	1	3.508771929824561
GO:0009955	adaxial/abaxial pattern specification	2	57	41/21384	0.04878048780487805	18.300385109114252	5.7322725073403875	0.005354873697683525	0.034754180273200916	0.02553097676294932	ATHD2A/ATHD2	2	1	3.508771929824561
GO:0009161	ribonucleoside monophosphate metabolic process	2	57	42/21384	0.047619047619047616	17.864661654135336	5.655767934957188	0.005613043831592806	0.035729182851100355	0.026247229252994702	NA/ATPURM	2	1	3.508771929824561
GO:0010228	vegetative to reproductive phase transition of meristem	4	57	271/21384	0.014760147601476014	5.537385900174791	3.8861740736223633	0.005886874293277756	0.03676519605801768	0.027008301127053855	AtCCA1/ATCOL2/HLP1/LHY	4	1	7.017543859649122
GO:0009124	nucleoside monophosphate biosynthetic process	2	57	46/21384	0.043478260869565216	16.31121281464531	5.374258038138773	0.006701570873099175	0.04107814738881161	0.03017666416541734	NA/ATPURM	2	1	3.508771929824561
GO:1901259	chloroplast rRNA processing	2	21	24/21384	0.08333333333333333	84.85714285714286	12.88718025217868	2.5023115589054793e-4	0.024772884433164246	0.016330875437067342	RHON1/ATRAP	2	2	9.523809523809524
GO:0140053	mitochondrial gene expression	2	10	68/21384	0.029411764705882353	62.89411764705882	11.057129399825994	4.4104948983344426e-4	0.028668216839173876	0.018570504835092393	NA/NA	2	6	20
